         9311187 function calls (9286666 primitive calls) in 17.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.080    0.011 linear.py:103(reset_parameters)
        7    0.000    0.000    0.079    0.011 init.py:366(kaiming_uniform_)
       14    0.079    0.006    0.079    0.006 {method 'uniform_' of 'torch._C._TensorBase' objects}
      300    0.001    0.000    0.078    0.000 loss.py:719(forward)
   200001    0.078    0.000    0.078    0.000 {built-in method torch._C._is_tracing}
     1008    0.078    0.000    0.078    0.000 {built-in method torch._C._nn.linear}
      300    0.001    0.000    0.076    0.000 functional.py:3101(binary_cross_entropy_with_logits)
      300    0.075    0.000    0.075    0.000 {built-in method torch.binary_cross_entropy_with_logits}
   500040    0.072    0.000    0.072    0.000 Image.py:538(size)
      102    0.001    0.000    0.071    0.001 models.py:54(forward)
   200163    0.067    0.000    0.067    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.066    0.066 GANs_MLP_model.py:36(build_generator)
        1    0.000    0.000    0.066    0.066 models.py:45(__init__)
   100000    0.044    0.000    0.064    0.000 Image.py:530(width)
661282/661280    0.063    0.000    0.063    0.000 {built-in method builtins.len}
    50000    0.059    0.000    0.059    0.000 {method 'decode' of 'ImagingDecoder' objects}
      200    0.001    0.000    0.054    0.000 models.py:33(forward)
     6400    0.003    0.000    0.045    0.000 module.py:2059(parameters)
    50021    0.044    0.000    0.044    0.000 {built-in method builtins.max}
    50000    0.023    0.000    0.043    0.000 functional.py:1596(_check_antialias)
   100071    0.043    0.000    0.043    0.000 {built-in method builtins.getattr}
    50000    0.043    0.000    0.043    0.000 {built-in method PIL._imaging.raw_decoder}
     6400    0.003    0.000    0.042    0.000 module.py:2084(named_parameters)
    50000    0.018    0.000    0.042    0.000 _functional_tensor.py:13(_assert_image_tensor)
   400146    0.042    0.000    0.042    0.000 _jit_internal.py:1102(is_scripting)
   100000    0.029    0.000    0.040    0.000 Image.py:534(height)
     6400    0.011    0.000    0.040    0.000 module.py:2045(_named_members)
        2    0.001    0.000    0.039    0.019 GANs_abstract_object.py:172(save_images)
       10    0.000    0.000    0.037    0.004 pyplot.py:2392(imsave)
       10    0.000    0.000    0.037    0.004 image.py:1531(imsave)
        1    0.034    0.034    0.034    0.034 shape_base.py:219(vstack)
       10    0.000    0.000    0.034    0.003 Image.py:2347(save)
   150724    0.032    0.000    0.032    0.000 {built-in method builtins.hasattr}
   150020    0.030    0.000    0.030    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    50000    0.030    0.000    0.030    0.000 {built-in method PIL._imaging.raw_encoder}
    50000    0.022    0.000    0.029    0.000 functional.py:115(_is_numpy)
        1    0.015    0.015    0.025    0.025 GANs_MLP_model.py:64(<listcomp>)
      706    0.001    0.000    0.025    0.000 activation.py:102(forward)
    50000    0.016    0.000    0.025    0.000 enum.py:783(__hash__)
    50000    0.025    0.000    0.025    0.000 Image.py:524(__getattr__)
      706    0.001    0.000    0.024    0.000 functional.py:1446(relu)
    50000    0.024    0.000    0.024    0.000 _functional_tensor.py:9(_is_tensor_a_torch_image)
      706    0.023    0.000    0.023    0.000 {built-in method torch.relu}
    50010    0.020    0.000    0.020    0.000 {method 'setimage' of 'ImagingEncoder' objects}
30800/9600    0.018    0.000    0.020    0.000 module.py:2224(named_modules)
    50000    0.018    0.000    0.018    0.000 {built-in method torch.get_default_dtype}
   100291    0.018    0.000    0.018    0.000 {method 'get' of 'dict' objects}
    50028    0.016    0.000    0.016    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
    50000    0.016    0.000    0.016    0.000 {method 'setimage' of 'ImagingDecoder' objects}
     1400    0.016    0.000    0.016    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.015    0.015 __init__.py:645(device_count)
        1    0.000    0.000    0.015    0.015 __init__.py:616(_device_count_nvml)
        1    0.015    0.015    0.015    0.015 __init__.py:539(_raw_device_count_nvml)
   100021    0.015    0.000    0.015    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.015    0.015 GANs_MLP_model.py:31(build_discriminator)
        1    0.000    0.000    0.015    0.015 models.py:26(__init__)
      400    0.014    0.000    0.014    0.000 {built-in method torch.cat}
      600    0.014    0.000    0.014    0.000 {built-in method torch.isnan}
     5102    0.013    0.000    0.013    0.000 {built-in method torch.tensor}
      100    0.000    0.000    0.012    0.000 optimizers.py:53(zero_grad)
      200    0.001    0.000    0.011    0.000 utils.py:161(zero_grad)
    50050    0.011    0.000    0.011    0.000 {method 'join' of 'bytes' objects}
       10    0.000    0.000    0.010    0.001 PngImagePlugin.py:1230(_save)
       10    0.000    0.000    0.009    0.001 ImageFile.py:496(_save)
       10    0.000    0.000    0.009    0.001 ImageFile.py:524(_encode_tile)
    50002    0.009    0.000    0.009    0.000 {built-in method builtins.hash}
    50615    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
       23    0.009    0.000    0.009    0.000 {built-in method io.open}
       10    0.009    0.001    0.009    0.001 {method 'close' of '_io.BufferedRandom' objects}
        4    0.000    0.000    0.009    0.002 module.py:1039(to)
     44/4    0.000    0.000    0.009    0.002 module.py:795(_apply)
       28    0.000    0.000    0.008    0.000 module.py:1139(convert)
      304    0.007    0.000    0.007    0.000 {method 'item' of 'torch._C._TensorBase' objects}
      200    0.001    0.000    0.007    0.000 utils.py:80(noise)
      400    0.002    0.000    0.007    0.000 __init__.py:50(_make_grads)
        2    0.000    0.000    0.006    0.003 models.py:61(to)
      200    0.006    0.000    0.006    0.000 {built-in method torch.randn}
       44    0.006    0.000    0.006    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.005    0.001 Image.py:322(preinit)
     10/6    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        4    0.000    0.000    0.005    0.001 {built-in method builtins.__import__}
      5/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
      5/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      200    0.004    0.000    0.004    0.000 {built-in method torch.add}
      102    0.000    0.000    0.004    0.000 activation.py:358(forward)
      102    0.004    0.000    0.004    0.000 {built-in method torch.tanh}
     1400    0.004    0.000    0.004    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
      200    0.004    0.000    0.004    0.000 {built-in method torch.ones_like}
      213    0.000    0.000    0.004    0.000 {built-in method builtins.next}
    14442    0.003    0.000    0.004    0.000 {method 'add' of 'set' objects}
      102    0.000    0.000    0.004    0.000 dataloader.py:622(_next_index)
      102    0.002    0.000    0.004    0.000 sampler.py:241(__iter__)
      5/4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
      200    0.001    0.000    0.004    0.000 utils.py:188(<listcomp>)
     8800    0.003    0.000    0.004    0.000 module.py:2113(<lambda>)
      5/4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:877(exec_module)
    11200    0.002    0.000    0.003    0.000 _tensor.py:942(__hash__)
      200    0.001    0.000    0.003    0.000 utils.py:31(ones_target)
      100    0.001    0.000    0.003    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.003    0.001 models.py:39(to)
      100    0.000    0.000    0.003    0.000 optimizers.py:353(<listcomp>)
      200    0.003    0.000    0.003    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      2/1    0.000    0.000    0.003    0.003 __init__.py:353(get_device_name)
      4/1    0.000    0.000    0.003    0.003 __init__.py:385(get_device_properties)
      5/2    0.000    0.000    0.003    0.001 __init__.py:219(_lazy_init)
     3679    0.002    0.000    0.002    0.000 module.py:1601(__getattr__)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      100    0.000    0.000    0.002    0.000 collate.py:182(collate_int_fn)
        1    0.000    0.000    0.002    0.002 __init__.py:128(_check_capability)
        2    0.000    0.000    0.002    0.001 __init__.py:368(get_device_capability)
        4    0.002    0.001    0.002    0.001 {built-in method torch.cuda._get_device_properties}
      102    0.000    0.000    0.002    0.000 profiler.py:491(__enter__)
      100    0.000    0.000    0.002    0.000 optimizers.py:357(<listcomp>)
       20    0.000    0.000    0.002    0.000 genericpath.py:16(exists)
    10000    0.002    0.000    0.002    0.000 collate.py:137(<genexpr>)
      100    0.002    0.000    0.002    0.000 fetch.py:51(<listcomp>)
        7    0.000    0.000    0.002    0.000 genericpath.py:27(isfile)
      200    0.002    0.000    0.002    0.000 {built-in method torch.ones}
      102    0.000    0.000    0.002    0.000 _ops.py:497(__call__)
      102    0.002    0.000    0.002    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
      102    0.001    0.000    0.002    0.000 profiler.py:495(__exit__)
    10002    0.001    0.000    0.002    0.000 sampler.py:117(__iter__)
    17732    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      100    0.001    0.000    0.001    0.000 utils.py:55(zeros_target)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      5/4    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
     1008    0.001    0.000    0.001    0.000 container.py:207(__iter__)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      305    0.000    0.000    0.001    0.000 GANs_abstract_object.py:59(print_verbose)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       18    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:248(dump)
        1    0.000    0.000    0.001    0.001 __init__.py:215(dump_all)
        5    0.001    0.000    0.001    0.000 {built-in method io.open_code}
    11201    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      800    0.001    0.000    0.001    0.000 overrides.py:1750(is_tensor_like)
      324    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.001    0.001 representer.py:26(represent)
  904/903    0.001    0.000    0.001    0.000 typing.py:306(inner)
        1    0.000    0.000    0.001    0.001 distributed_c10d.py:766(init_process_group)
      221    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
        1    0.000    0.000    0.001    0.001 serializer.py:46(serialize)
       10    0.001    0.000    0.001    0.000 cm.py:443(to_rgba)
     21/1    0.000    0.000    0.001    0.001 serializer.py:78(serialize_node)
        1    0.000    0.000    0.001    0.001 __init__.py:213(__getattr__)
        1    0.000    0.000    0.001    0.001 __init__.py:235(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:213(_get_version)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      221    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      100    0.001    0.000    0.001    0.000 {built-in method torch.zeros}
       26    0.000    0.000    0.001    0.000 emitter.py:111(emit)
      102    0.000    0.000    0.001    0.000 _ops.py:286(__call__)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.001    0.001 cifar.py:94(_load_meta)
     3200    0.001    0.000    0.001    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.001    0.001 JpegImagePlugin.py:1(<module>)
       10    0.000    0.000    0.001    0.000 cm.py:398(__init__)
      102    0.001    0.000    0.001    0.000 {built-in method torch._ops.profiler.}
        1    0.000    0.000    0.001    0.001 pathlib.py:1064(resolve)
      102    0.000    0.000    0.001    0.000 profiler.py:482(__init__)
  172/106    0.000    0.000    0.001    0.000 abc.py:121(__subclasscheck__)
      100    0.000    0.000    0.001    0.000 utils.py:88(images_to_vectors)
        1    0.000    0.000    0.001    0.001 posixpath.py:392(realpath)
       10    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.001    0.001 __init__.py:340(__init__)
  172/106    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      3/1    0.000    0.000    0.001    0.001 posixpath.py:401(_joinrealpath)
        1    0.001    0.001    0.001    0.001 {built-in method _ctypes.dlopen}
     1130    0.001    0.000    0.001    0.000 {method 'size' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 distributed_c10d.py:935(_new_process_group_helper)
        4    0.000    0.000    0.000    0.000 {built-in method torch.randperm}
      200    0.000    0.000    0.000    0.000 {method 'detach_' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.000    0.000 cm.py:642(set_norm)
       10    0.000    0.000    0.000    0.000 cm.py:613(norm)
      339    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       11    0.000    0.000    0.000    0.000 emitter.py:395(expect_block_mapping_key)
      100    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 dataloader.py:225(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       21    0.000    0.000    0.000    0.000 emitter.py:232(expect_node)
      200    0.000    0.000    0.000    0.000 {built-in method torch.is_same_size}
       51    0.000    0.000    0.000    0.000 module.py:1617(__setattr__)
       11    0.000    0.000    0.000    0.000 pathlib.py:957(__new__)
       12    0.000    0.000    0.000    0.000 pathlib.py:589(_from_parts)
       50    0.000    0.000    0.000    0.000 PngImagePlugin.py:1066(putchunk)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataloader.py:428(__iter__)
       24    0.000    0.000    0.000    0.000 module.py:437(__init__)
       13    0.000    0.000    0.000    0.000 pathlib.py:569(_parse_args)
        2    0.000    0.000    0.000    0.000 dataloader.py:383(_get_iterator)
        2    0.000    0.000    0.000    0.000 dataloader.py:661(__init__)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 _ops.py:447(__getattr__)
        2    0.000    0.000    0.000    0.000 dataloader.py:567(__init__)
      400    0.000    0.000    0.000    0.000 __init__.py:98(_tensor_or_tensors_to_tuple)
       22    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       13    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        2    0.000    0.000    0.000    0.000 rendezvous.py:114(_file_rendezvous_handler)
     1117    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      706    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_unary}
       10    0.000    0.000    0.000    0.000 emitter.py:409(expect_block_mapping_simple_value)
      2/1    0.000    0.000    0.000    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.000    0.000 typing.py:523(Optional)
     1042    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
       10    0.000    0.000    0.000    0.000 emitter.py:437(check_simple_key)
      400    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function}
       20    0.000    0.000    0.000    0.000 emitter.py:266(expect_scalar)
       41    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       10    0.000    0.000    0.000    0.000 cm.py:595(set_cmap)
       53    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       11    0.000    0.000    0.000    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
       18    0.000    0.000    0.000    0.000 {built-in method torch.empty}
       10    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedRandom' objects}
        7    0.000    0.000    0.000    0.000 container.py:97(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._get_operation_overload}
       10    0.000    0.000    0.000    0.000 GANs_abstract_object.py:63(createFolder)
       20    0.000    0.000    0.000    0.000 emitter.py:626(analyze_scalar)
       10    0.000    0.000    0.000    0.000 cm.py:719(_ensure_cmap)
        2    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        7    0.000    0.000    0.000    0.000 init.py:122(uniform_)
       20    0.000    0.000    0.000    0.000 emitter.py:515(process_scalar)
        1    0.000    0.000    0.000    0.000 enum.py:180(__new__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        3    0.000    0.000    0.000    0.000 utils.py:117(get_gpus_list)
       10    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
      300    0.000    0.000    0.000    0.000 _reduction.py:7(get_enum)
        7    0.000    0.000    0.000    0.000 init.py:12(_no_grad_uniform_)
       20    0.000    0.000    0.000    0.000 emitter.py:1080(write_plain)
       10    0.000    0.000    0.000    0.000 cbook.py:215(connect)
      314    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2979(prod)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_init}
       84    0.000    0.000    0.000    0.000 module.py:2167(children)
       10    0.000    0.000    0.000    0.000 _methods.py:39(_amax)
        2    0.000    0.000    0.000    0.000 dataloader.py:98(_get_distributed_settings)
     21/1    0.000    0.000    0.000    0.000 representer.py:33(represent_data)
       28    0.000    0.000    0.000    0.000 module.py:799(compute_should_use_set_data)
        8    0.000    0.000    0.000    0.000 __init__.py:94(is_available)
       51    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.000    0.000 distributed_c10d.py:434(_store_based_barrier)
      801    0.000    0.000    0.000    0.000 typing.py:1737(cast)
       10    0.000    0.000    0.000    0.000 PngImagePlugin.py:1084(write)
       10    0.000    0.000    0.000    0.000 colors.py:1222(__init__)
       84    0.000    0.000    0.000    0.000 grad_mode.py:149(__init__)
        1    0.000    0.000    0.000    0.000 representer.py:206(represent_dict)
      100    0.000    0.000    0.000    0.000 PngImagePlugin.py:154(_crc32)
        1    0.000    0.000    0.000    0.000 pathlib.py:1285(exists)
        1    0.000    0.000    0.000    0.000 representer.py:103(represent_mapping)
        2    0.000    0.000    0.000    0.000 pathlib.py:1092(stat)
       21    0.000    0.000    0.000    0.000 emitter.py:469(process_tag)
        2    0.000    0.000    0.000    0.000 utils.py:128(get_gpu)
       42    0.000    0.000    0.000    0.000 grad_mode.py:57(__exit__)
        1    0.000    0.000    0.000    0.000 transforms.py:337(__init__)
       20    0.000    0.000    0.000    0.000 cm.py:89(__getitem__)
        1    0.000    0.000    0.000    0.000 rendezvous.py:92(rendezvous)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
        1    0.000    0.000    0.000    0.000 typing.py:483(Union)
       42    0.000    0.000    0.000    0.000 grad_mode.py:53(__enter__)
        5    0.000    0.000    0.000    0.000 activation.py:98(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:107(count_gpus)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        3    0.000    0.000    0.000    0.000 typing.py:146(_type_check)
       13    0.000    0.000    0.000    0.000 module.py:585(add_module)
       14    0.000    0.000    0.000    0.000 module.py:539(register_parameter)
       14    0.000    0.000    0.000    0.000 parameter.py:30(__new__)
       10    0.000    0.000    0.000    0.000 weakref.py:54(_cb)
        1    0.000    0.000    0.000    0.000 rendezvous.py:59(_rendezvous_helper)
        8    0.000    0.000    0.000    0.000 __init__.py:91(_nvml_based_avail)
       20    0.000    0.000    0.000    0.000 emitter.py:494(choose_scalar_style)
      140    0.000    0.000    0.000    0.000 _binary.py:101(o32be)
       10    0.000    0.000    0.000    0.000 Image.py:608(_ensure_mutable)
       37    0.000    0.000    0.000    0.000 parameter.py:8(__instancecheck__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       84    0.000    0.000    0.000    0.000 module.py:2176(named_children)
       10    0.000    0.000    0.000    0.000 Image.py:602(_copy)
       10    0.000    0.000    0.000    0.000 __init__.py:64(check_isinstance)
        9    0.000    0.000    0.000    0.000 os.py:772(getenv)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       14    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
       12    0.000    0.000    0.000    0.000 _collections_abc.py:821(get)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       10    0.000    0.000    0.000    0.000 cbook.py:110(_weak_or_strong_ref)
       28    0.000    0.000    0.000    0.000 {built-in method torch._has_compatible_shallow_copy_type}
       42    0.000    0.000    0.000    0.000 grad_mode.py:48(__init__)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:1(<module>)
       10    0.000    0.000    0.000    0.000 emitter.py:580(prepare_tag)
        1    0.000    0.000    0.000    0.000 emitter.py:392(expect_first_block_mapping_key)
       20    0.000    0.000    0.000    0.000 colors.py:953(copy)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.000    0.000 parse.py:380(urlparse)
